MaNV,HoTen,SoNha,Duong,Quan,ThanhPho,NgaySinh,Phai,BoPhan,ChiNhanh,Luong,DangLamViec
00001,Thạch Ðức Tài,996,Trường Chinh,Tân Bình,Hồ Chí Minh,02/09/2003,Nữ,1,3,23521942,1
00002,Mùa Vĩnh Hưng,644,Lý Tự Trọng,Quận 12,Hồ Chí Minh,28/12/1982,Nữ,1,5,9072976,1
00003,Mè Quốc Hoàng,929,Kim Mã,Cẩm Lệ,Hà Nội,18/07/2003,Nữ,4,15,26496803,1
00004,Lê An Ninh,745D,Duy Tân,Tây Hồ,Đà Nẵng,16/11/2000,Nữ,3,12,27320338,1
00005,Quỳnh Bạch Kim,16,Hàm Nghi,Ngũ Hành Sơn,Đà Nẵng,31/03/1975,Nữ,5,5,27539638,1
00006,La Việt Phương,230D,Phùng Hưng,Thanh Khê,Hồ Chí Minh,17/04/1972,Nam,3,9,24717314,1
00007,Quỳnh Thanh Hải,334B,Lý Thái Tổ,Tân Phú,Đà Nẵng,01/06/1982,Nam,3,9,27882291,1
00008,Tiêu Ðắc Thái,542,Bà Triệu,Ngũ Hành Sơn,Hà Nội,12/10/1990,Nữ,4,2,10212520,1
00009,Nghiêm Khắc Kỷ,566D,Cửu Long,Sơn Trà,Đà Nẵng,09/08/1973,Nam,5,11,9744536,1
00010,Hạnh Minh Giang,575B,Hàm Thuận Nam,Cầu Giấy,Hồ Chí Minh,20/09/1993,Nữ,1,2,21738081,1
00011,Châu Thục Oanh,113,Hàm Nghi,Hoàn Kiếm,Hồ Chí Minh,28/07/1991,Nữ,4,3,23050469,1
00012,Tô Kỳ Võ,374C,Đinh Tiên Hoàng,Tân Bình,Đà Nẵng,27/10/1978,Nam,3,7,19590630,1
00013,Cảnh Quốc Quý,813,Xà Cừ,Quận 11,Đà Nẵng,22/02/2000,Nam,2,14,22032924,0
00014,Khảm Xuân Trang,478,Hoàng Văn Thụ,Thanh Xuân,Hà Nội,31/08/1996,Nữ,1,3,14926268,0
00015,Mai Khôi Vĩ,78B,Trần Hưng Đạo,Thanh Khê,Đà Nẵng,12/05/1975,Nam,3,12,29048843,1
00016,Nông Vinh Quốc,664,Nguyễn Thị Minh Khai,Quận 12,Hồ Chí Minh,28/03/1993,Nữ,1,2,21200039,0
00017,Tô Nhật Khương,853,Hoàng Sa,Sơn Trà,Hồ Chí Minh,26/08/1978,Nam,1,4,12042951,1
00018,Lý Đài Trang,598,Điện Biên Phủ,Hoàng Mai,Hồ Chí Minh,11/09/1984,Nữ,4,15,18876880,1
00019,Lò Nhật Hồng,884,Võ Nguyên Giáp,Cầu Giấy,Đà Nẵng,24/03/1981,Nữ,4,5,8731530,1
00020,Bạch Lạc Phúc,796D,Đồng Nai,Ngũ Hành Sơn,Hồ Chí Minh,31/05/1993,Nữ,4,1,21446732,0
00021,Cù Xuân Thủy,469,Duy Tân,Quận 10,Đà Nẵng,07/12/1992,Nam,2,1,17805162,1
00022,Bùi Tích Ðức,182,Hồng,Nam Từ Liêm,Hà Nội,10/04/2001,Nam,5,2,21211519,0
00023,Kiều Hải Vy,482,Bà Nà,Tây Hồ,Đà Nẵng,05/11/1981,Nữ,2,13,27049871,0
00024,Nghiêm Khánh Giang,200,Tam Đảo,Thanh Khê,Hà Nội,11/02/1966,Nam,4,9,27260997,1
00025,Trần Hồng Trúc,711,Lê Lợi,Cầu Giấy,Đà Nẵng,19/06/1968,Nữ,2,8,11138521,1
00026,Phạm Công Thành,9,Huỳnh Thúc Kháng,Cẩm Lệ,Đà Nẵng,26/04/1992,Nam,4,9,26843112,1
00027,Lương Khắc Duy,384,Nguyễn Thiện Thuật,Quận 4,Hồ Chí Minh,21/04/1987,Nữ,3,4,9722716,1
00028,Bạch Hiểu Lam,307D,Hồ Chí Minh,Sơn Trà,Hồ Chí Minh,18/05/2007,Nữ,5,15,19141849,0
00029,Khảm Ðạt Dũng,818D,Bưởi,Thanh Khê,Hà Nội,08/01/2003,Nam,4,7,22024219,0
00030,Đỗ Đinh Hương,636,Hoàng Diệu,Cầu Giấy,Đà Nẵng,09/04/1972,Nam,2,5,14086530,0
00031,Vừ Toàn Thắng,334,Ngô Gia Tự,Liên Chiểu,Đà Nẵng,19/12/1983,Nam,1,3,19406422,0
00032,Phan Thụy Nương,294,Lý Tự Trọng,Ngũ Hành Sơn,Đà Nẵng,04/05/1992,Nam,3,10,8986525,1
00033,Hà Xuân Hân,667,Hồ Chí Minh,Liên Chiểu,Hà Nội,12/12/2008,Nam,3,1,10857697,1
00034,Hà Chiêu Quân,787,Nguyễn Văn Linh,Cẩm Lệ,Hà Nội,13/02/1986,Nam,3,8,23339087,0
00035,Lâm Trân Châu,963D,Hồng,Quận 5,Hà Nội,03/03/1983,Nam,4,8,16071263,1
00036,Hồng Tuyết Vân,325B,Hùng Vương,Tân Phú,Hồ Chí Minh,20/09/1970,Nam,3,13,23876263,0
00037,Lường Vân Nhi,491C,Pasteur,Tây Hồ,Hà Nội,22/01/1976,Nữ,5,10,13332777,1
00038,Nông Hoài Tín,905,Phan Châu Trinh,Bắc Từ Liêm,Hồ Chí Minh,24/09/1986,Nữ,3,2,22986049,1
00039,Tống Ðình Phú,111,Lý Thái Tổ,Quận 9,Đà Nẵng,06/11/1974,Nam,3,4,27111017,1
00040,Trương Khánh Hằng,587,Âu Cơ,Ba Đình,Đà Nẵng,14/03/1995,Nam,2,6,19312067,0
00041,Đồng Hương Trà,749C,Pasteur,Hai Bà Trưng,Hà Nội,19/07/1998,Nữ,3,13,17544156,0
00042,Mạc Ðan Tâm,33,Mít,Ba Đình,Hà Nội,12/01/1991,Nữ,2,13,11291346,1
